Property 2,Topic,Name,Final Review,4th,Date Created,Studies,Property,Number,Status,1st review,2nd,3rd,Next Review,5th
,Physical Exam,Shoulder Examination,"August 31, 2022",,"June 11, 2022 3:48 PM",Revised x 1,"July 14, 2022",,Not started,,,,,
,Physical Exam,Elbow Examination,"August 31, 2022",,"June 10, 2022 4:45 PM",Revised x 1,"July 14, 2022",,Not started,,,,,
,Physical Exam,Knee Examination made Simple,"August 31, 2022",,"June 1, 2022 3:41 PM",Revised x 1,"July 15, 2022",,Not started,,,,,
,Physical Exam,Foot and Ankle Examination,"August 31, 2022",,"June 1, 2022 4:21 PM",Revised x 1,"July 16, 2022",,Not started,,,,,
,Physical Exam,Brachial Plexus Examination,"August 31, 2022",,"June 6, 2022 9:31 PM",Revised x 1,"July 10, 2022",,Not started,,,,,
,Physical Exam,Spine Examination made Simple,"August 31, 2022",,"June 7, 2022 7:28 PM",Revised x 1,"July 16, 2022",,Not started,,,,,
,Physical Exam,Paediatrics Examination Cases,"August 31, 2022",,"June 8, 2022 8:13 AM",Revised x 0,,,Not started,,,,,
,Physical Exam,Hand Examination made Simple,"August 31, 2022",,"June 29, 2022 12:13 PM",Revised x 0,,,Not started,,,,,
,Physical Exam,Look and Proceed Cases,"August 31, 2022",,"July 27, 2022 9:45 PM",Revised x 0,,,Not started,,,,,
,Physical Exam,Long Cases History Taking,"August 31, 2022",,"July 28, 2022 9:07 PM",Revised x 0,,,Not started,,,,,
,Basic Science,1. Statistic,"August 31, 2022",18 days,"June 29, 2022 9:59 PM",Revised x 1,"July 6, 2022",,Not started,"August 10, 2022",12 days,12 days,"September 24, 2022",
,Basic Science,2. Genetics,"September 2, 2022",18 days,"June 28, 2022 3:33 PM",Revised x 1,"July 15, 2022",,Not started,"August 10, 2022",12 days,18 days,"September 30, 2022",
,Basic Science,3. Embryology and Physis,"September 1, 2022",12 days,"June 10, 2022 1:24 PM",Revised x 1,"July 15, 2022",,Not started,"July 25, 2022",3 days,18 days,"September 17, 2022",18 days
,Basic Science,4.  Ortho Pharmacology,"September 2, 2022",18 days,"July 1, 2022 6:19 AM",Revised x 1,"July 15, 2022",,Not started,"August 10, 2022",12 days,18 days,"September 30, 2022",
,Basic Science,5. Infection and Abx,"September 1, 2022",18 days,"June 28, 2022 9:06 AM",Revised x 1,"July 15, 2022",,Not started,"July 30, 2022",7 days,12 days,"September 26, 2022",18 days
,Basic Science,6. Imaging,"September 2, 2022",12 days,"June 28, 2022 9:57 AM",Revised x 1,"July 11, 2022",,Not started,"August 2, 2022",12 days,12 days,"September 28, 2022",18 days
,Basic Science,7. Osteoporosis/ Osteomalacia,"September 1, 2022",18 days,"June 20, 2022 8:23 AM",Revised x 1,"July 12, 2022",,Not started,"July 28, 2022",7 days,12 days,"September 24, 2022",18 days
,Basic Science,8. Ligaments and Tendons,"August 31, 2022",18 days,"June 13, 2022 8:36 AM",Revised x 1,"July 9, 2022",,Not started,"July 26, 2022",7 days,12 days,"September 22, 2022",18 days
,Basic Science,9. Meniscus,"August 31, 2022",18 days,"June 5, 2022 1:03 PM",Revised x 1,"July 9, 2022",,Not started,"July 24, 2022",7 days,12 days,"September 20, 2022",18 days
,Basic Science,10. Cartilage and Synovium,"August 31, 2022",18 days,"June 5, 2022 2:14 PM",Revised x 1,"July 9, 2022",,Not started,"July 30, 2022",3 days,12 days,"September 22, 2022",18 days
,Basic Science,11. Nerves/ NCS/ EMG,"September 3, 2022",18 days,"June 10, 2022 8:58 AM",Revised x 1,"July 11, 2022",,Not started,"July 27, 2022",7 days,12 days,"September 23, 2022",18 days
,Basic Science,12. Muscle,"August 31, 2022",18 days,"June 13, 2022 8:48 AM",Revised x 1,"July 6, 2022",,Not started,"July 26, 2022",7 days,12 days,"September 22, 2022",18 days
,Basic Science,13. Bone,"September 1, 2022",18 days,"June 4, 2022 7:12 AM",Revised x 1,"July 11, 2022",,Not started,"July 31, 2022",7 days,12 days,"September 27, 2022",18 days
,Basic Science,14. Bone Injury/ Healing/ Non Union,"September 1, 2022",18 days,"June 29, 2022 6:11 AM",Revised x 1,"July 11, 2022",,Not started,"July 31, 2022",3 days,12 days,"September 23, 2022",18 days
,Basic Science,15. Intervertebral Disc,"August 31, 2022",18 days,"June 16, 2022 9:59 PM",Revised x 1,"July 11, 2022",,Not started,"July 26, 2022",7 days,12 days,"September 22, 2022",18 days
,Basic Science,"16. Biomechanics FBA/ Knee, Ankle, Hip","September 2, 2022",18 days,"June 29, 2022 6:46 AM",Revised x 1,"July 15, 2022",,Not started,"August 7, 2022",12 days,18 days,"September 27, 2022",
,Basic Science,17. Biomaterial Behaviour,"September 1, 2022",18 days,"June 28, 2022 4:44 PM",Revised x 1,"July 13, 2022",,Not started,"July 28, 2022",7 days,12 days,"September 24, 2022",18 days
,Basic Science,18. Biomaterials,"September 2, 2022",18 days,"June 28, 2022 8:30 PM",Revised x 1,"July 13, 2022",,Not started,"July 28, 2022",3 days,3 days,"September 11, 2022",18 days
,Basic Science,21. Spine Biomechanics,"September 1, 2022",12 days,"June 23, 2022 12:48 PM",Revised x 1,"July 15, 2022",,Not started,"July 27, 2022",3 days,18 days,"September 19, 2022",18 days
,Basic Science,22. Shoulder and Elbow Biomech,"August 31, 2022",18 days,"June 2, 2022 4:45 PM",Revised x 1,"July 12, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 21, 2022",18 days
,Basic Science,25. Tribology,"September 1, 2022",12 days,"June 28, 2022 10:23 AM",Revised x 1,"July 9, 2022",,Not started,"August 5, 2022",7 days,12 days,"September 26, 2022",18 days
,Basic Science,26. Gait,"August 31, 2022",18 days,"June 14, 2022 6:45 AM",Revised x 1,"July 10, 2022",,Not started,"July 30, 2022",3 days,12 days,"September 22, 2022",18 days
,Basic Science,27. Prosthesis,"September 1, 2022",18 days,"June 28, 2022 8:06 AM",Revised x 1,"July 8, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 25, 2022",18 days
,Basic Science,28. Orthotics,"September 1, 2022",18 days,"June 13, 2022 7:55 PM",Revised x 1,"July 8, 2022",,Not started,"July 26, 2022",7 days,12 days,"September 22, 2022",18 days
,Basic Science,29. Inside the OT,"September 1, 2022",18 days,"June 20, 2022 7:39 AM",Revised x 1,"July 15, 2022",,Not started,"August 2, 2022",12 days,18 days,"September 22, 2022",
,Basic Science,30. Osteoarthritis Basic Science,"August 31, 2022",18 days,"June 2, 2022 9:35 AM",Revised x 1,"July 10, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 21, 2022",18 days
,Basic Science,31. Fracture Fixation Principles,"September 3, 2022",18 days,"June 1, 2022 9:03 PM",Revised x 1,"July 15, 2022",,Not started,"August 8, 2022",3 days,12 days,"October 1, 2022",18 days
,Basic Science,Misc. Conditions - Gout/ PseudoG/ Beurger’s/ Raynaud,"September 2, 2022",18 days,"August 8, 2022 5:42 PM",Revised x 0,,,Not started,"August 10, 2022",12 days,18 days,"September 30, 2022",
,Approaches,Key Anatomy,,3 days,"June 5, 2022 10:57 AM",Revised x 1,"July 16, 2022",,Not started,"August 11, 2022",12 days,3 days,"September 1, 2022",
,Approaches,Shoulder Approaches,"September 2, 2022",18 days,"June 2, 2022 5:16 PM",Revised x 1,"July 14, 2022",,Not started,"July 26, 2022",12 days,12 days,"September 27, 2022",18 days
,Approaches,Humerus Approaches,"August 31, 2022",18 days,"June 3, 2022 8:44 AM",Revised x 1,"July 10, 2022",,Not started,"July 29, 2022",12 days,18 days,"September 18, 2022",
,Approaches,Elbow Approaches,"September 1, 2022",18 days,"June 3, 2022 6:35 AM",Revised x 1,"July 15, 2022",,Not started,"July 25, 2022",12 days,12 days,"September 26, 2022",18 days
,Approaches,Forearm and Wrist Approaches,"September 1, 2022",18 days,"June 3, 2022 8:44 AM",Revised x 1,"July 15, 2022",,Not started,"July 25, 2022",12 days,12 days,"September 26, 2022",18 days
,Approaches,Hip + Pelvis Approaches,"September 1, 2022",12 days,"June 3, 2022 11:57 AM",Revised x 1,"July 14, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 19, 2022",18 days
,Approaches,Tibia Plateau Approaches,"August 31, 2022",18 days,"June 2, 2022 12:37 AM",Revised x 1,"July 9, 2022",,Not started,"July 27, 2022",7 days,7 days,"September 18, 2022",18 days
,Approaches,Distal Femur Approaches,"September 2, 2022",18 days,"June 1, 2022 8:55 PM",Revised x 1,"July 14, 2022",,Not started,"August 8, 2022",12 days,18 days,"September 28, 2022",
,Approaches,Spine Approaches/ Fusion Approaches,"September 3, 2022",18 days,"June 24, 2022 8:44 PM",Revised x 1,"July 16, 2022",,Not started,"August 12, 2022",12 days,12 days,"September 26, 2022",
,Approaches,Ankle/ Distal Tibia Approaches,"September 1, 2022",18 days,"June 2, 2022 6:49 AM",Revised x 1,"July 9, 2022",,Not started,"July 27, 2022",7 days,7 days,"September 18, 2022",18 days
,Trauma,Polytrauma/ Open Fractures/ Mangled Limbs/ Skin Recon,"September 3, 2022",12 days,"June 30, 2022 1:21 PM",Revised x 1,"July 9, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 15, 2022",18 days
,Trauma,Compartment Syndrome,"September 2, 2022",18 days,"June 2, 2022 5:57 AM",Revised x 1,"July 9, 2022",,Not started,"July 25, 2022",7 days,7 days,"September 16, 2022",18 days
,Trauma,Traction Principles,"September 1, 2022",18 days,"June 1, 2022 5:01 PM",Revised x 1,"July 12, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 25, 2022",18 days
,Trauma,Fracture Related Infection (FRI)/ Bone Loss Management,"September 2, 2022",18 days,"June 30, 2022 2:12 PM",Revised x 1,"July 12, 2022",,Not started,"August 8, 2022",18 days,12 days,"September 28, 2022",
,Trauma,Shoulder Injuries - Scapula/ Floating/ Coracoid/ Acromion/ Clavicle/ ACJ,"September 2, 2022",18 days,"June 23, 2022 8:53 AM",Revised x 1,"July 12, 2022",,Not started,"July 26, 2022",7 days,18 days,"September 28, 2022",18 days
,Trauma,Humerus Fractures - Prox./ Shaft/ Distal,"September 1, 2022",18 days,"June 9, 2022 11:47 PM",Revised x 1,"July 10, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 25, 2022",18 days
,Trauma,"Radius/ Ulna Fractures - Elbow #/dislocations/ Forearm/ Galeazzi ","September 2, 2022",12 days,"June 10, 2022 4:33 PM",Revised x 1,"July 15, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 15, 2022",18 days
,Trauma,Pelvic/ Acetabular/ Sacral  Fractures/ Hip Dislocation,"September 3, 2022",18 days,"June 3, 2022 4:15 PM",Revised x 1,"July 14, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 25, 2022",18 days
,Trauma,Femur Fractures - Head/ Neck/ IT/ Shaft/ Distal,"September 2, 2022",18 days,"June 1, 2022 8:27 PM",Revised x 1,"July 14, 2022",,Not started,"August 8, 2022",12 days,18 days,"September 28, 2022",
,Trauma,Knee Dislocation/ Patella Fractures,"September 1, 2022",18 days,"June 2, 2022 12:54 AM",Revised x 1,"July 6, 2022",,Not started,"July 30, 2022",7 days,12 days,"September 26, 2022",18 days
,Trauma,Tibia Plateau/ Shaft/ Pilon Fractures/ PCL Avulsion,"September 1, 2022",18 days,"June 2, 2022 12:33 AM",Revised x 1,"July 9, 2022",,Not started,"July 27, 2022",7 days,12 days,"September 23, 2022",18 days
,Trauma,Ankle Fractures,"September 3, 2022",18 days,"June 2, 2022 10:15 AM",Revised x 1,"July 11, 2022",,Not started,"August 12, 2022",12 days,12 days,"September 26, 2022",
,Trauma,Mid Foot Fractures - Lisfranc Injuries/ Navicular/ Cuboid,"September 2, 2022",18 days,"June 2, 2022 4:30 PM",Revised x 1,"July 11, 2022",,Not started,"July 31, 2022",7 days,12 days,"September 27, 2022",18 days
,Trauma,Hind foot Injuries - Calcaneus Fractures/ Talus Fracture,"September 3, 2022",18 days,"June 2, 2022 11:07 AM",Revised x 1,"July 11, 2022",,Not started,"July 30, 2022",3 days,7 days,"September 17, 2022",18 days
,Trauma,Periprosthetic Fractures,"September 2, 2022",18 days,"June 4, 2022 8:20 PM",Revised x 1,"July 13, 2022",,Not started,"August 3, 2022",7 days,12 days,"September 24, 2022",12 days
,Hip,THR Implants and Techniques,"September 2, 2022",18 days,"June 3, 2022 2:05 PM",Revised x 1,"July 15, 2022",,Not started,"July 28, 2022",7 days,12 days,"September 24, 2022",18 days
,Hip,THR Revision/ Ceramic Failure,"September 2, 2022",18 days,"June 4, 2022 7:52 AM",Revised x 1,"July 13, 2022",,Not started,"July 31, 2022",3 days,7 days,"September 18, 2022",18 days
,Hip,MOM Hip/ Hip Resurfacing,"September 1, 2022",18 days,"June 27, 2022 6:33 PM",Revised x 1,"July 12, 2022",,Not started,"July 29, 2022",7 days,12 days,"September 25, 2022",18 days
,Hip,THR Dislocation/ IntraProsthetic DislocationCause,"September 1, 2022",18 days,"June 4, 2022 9:14 AM",Revised x 1,"July 11, 2022",,Not started,"August 3, 2022",3 days,12 days,"September 26, 2022",18 days
,Hip,Prosthetic Joint infection,"September 2, 2022",18 days,"June 4, 2022 9:37 AM",Revised x 1,"July 11, 2022",,Not started,"July 31, 2022",3 days,7 days,"September 18, 2022",18 days
,Hip,Adult Dysplastic Hip/ FAI/ Adult Perthes,"September 2, 2022",18 days,"June 4, 2022 9:58 AM",Revised x 1,"July 12, 2022",,Not started,"August 3, 2022",12 days,18 days,"October 11, 2022",18 days
,Hip,AVN Hip/ ITOH/ BMES/ OA Hip,"August 31, 2022",12 days,"June 10, 2022 12:27 PM",Revised x 1,"July 9, 2022",,Not started,"August 3, 2022",7 days,7 days,"September 19, 2022",18 days
,Hip,TB Hip/ Hip Fusion and Conversion,"August 31, 2022",12 days,"June 27, 2022 7:01 PM",Revised x 1,"July 11, 2022",,Not started,"July 30, 2022",7 days,12 days,"September 20, 2022",18 days
,Knee,TKR Implants and Techniques,"September 2, 2022",12 days,"June 6, 2022 1:41 PM",Revised x 1,"July 15, 2022",,Not started,"August 3, 2022",3 days,7 days,"September 15, 2022",18 days
,Knee,OA Knee - Varus/ UKA/ HTO/ SONK/ Valgus,"September 3, 2022",18 days,"June 2, 2022 9:14 AM",Revised x 1,"July 12, 2022",,Not started,"August 8, 2022",7 days,12 days,"October 5, 2022",18 days
,Knee,Revision TKR,"September 2, 2022",12 days,"June 17, 2022 4:32 PM",Revised x 1,"July 9, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 15, 2022",18 days
,Knee,Patella Instability,"September 1, 2022",12 days,"June 7, 2022 7:09 AM",Revised x 1,"July 13, 2022",,Not started,"August 5, 2022",7 days,12 days,"September 26, 2022",18 days
,Knee,ACL Injuries,"September 1, 2022",18 days,"June 1, 2022 9:34 PM",Revised x 1,"July 13, 2022",,Not started,"August 3, 2022",12 days,18 days,"September 23, 2022",
